Produkt;Anzahl;Preis pro Einheit;Porto;Gesamtpreis;Link
Pegelwandler;2;7,29 €;3,99 €;18,57 €;https://www.amazon.de/gp/product/B07LG6RK7L/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1
LED-Lichterketten;4;7,70 €;0,00 €;30,80 €;https://de.aliexpress.com/item/1005001736372954.html?spm=a2g0s.9042311.0.0.72194c4dqLxvC0
Hohlstecker;4;1,45 €;5,46 €;11,26 €;https://de.aliexpress.com/item/1005002022688412.html?spm=a2g0s.9042311.0.0.72194c4dqLxvC0
WEMOS D1 Mini;2;16,60 €;1,72 €;34,92 €;https://de.aliexpress.com/item/1005002334340634.html?spm=a2g0s.9042311.0.0.72194c4dqLxvC0
Steckernetzteile;20;2,16 €;25,87 €;69,07 €;https://de.aliexpress.com/item/32729613841.html?spm=a2g0s.9042311.0.0.72194c4dqLxvC0
LED-Stripes;1;28,99 €;0,00 €;28,99 €;https://www.amazon.de/gp/product/B088BPGMXB/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1
;;;;;
Summe;;;;193,61 €;
Summe pro Person;;;;9,68 €;

